"name","total","male","female"
"Hong Kong","85.0260","82.1280","87.9140"
"Japan","84.7900","81.6580","87.8420"
"Macau","84.4240","81.4660","87.3600"
"Switzerland","83.9740","82.0920","85.7760"
"Singapore","83.7980","81.7360","85.8980"
"Spain","83.7380","81.0020","86.4280"
"Italy","83.7120","81.5560","85.7220"
"Australia","83.6440","81.7320","85.5680"
"Iceland","83.2200","81.7820","84.6640"
"South Korea","83.2080","80.1280","86.1320"
"Israel","83.1900","81.6040","84.6740"
"Sweden","83.0260","81.3140","84.7340"
"France","82.8620","79.9680","85.6360"
"Martinique","82.7860","79.4660","85.8120"
"Malta","82.7520","80.9820","84.4360"
"Canada","82.6640","80.7540","84.5440"
"Norway","82.6360","80.7340","84.5480"
"Ireland","82.5060","80.9140","84.0720"
"New Zealand","82.5040","80.8400","84.1480"
"Netherlands","82.4920","80.8480","84.1180"
"Greece","82.4720","80.1040","84.8400"
"Luxembourg","82.4680","80.4340","84.5160"
"Guadeloupe","82.3800","78.7480","85.6600"
"Portugal","82.2900","79.3420","85.0240"
"Finland","82.1440","79.3920","84.8920"
"Belgium","81.8580","79.6080","84.0620"
"Austria","81.7700","79.4840","84.0140"
"Germany","81.5680","79.2400","83.9040"
"Slovenia","81.5420","78.8560","84.2040"
"United Kingdom","81.5220","79.8800","83.1280"
"Cyprus","81.2060","79.1900","83.2060"
"Denmark","81.1120","79.2000","83.0340"
"Reunion","80.9420","78.0400","84.1700"
"United States Virgin Islands","80.8260","78.2480","83.2720"
"Taiwan","80.7000","78.0860","83.3880"
"Costa Rica","80.5640","78.0900","83.0980"
"Qatar","80.4460","79.4240","82.2140"
"Chile","80.4280","78.1000","82.6080"
"Puerto Rico","80.3540","76.8500","83.6760"
"Guam","80.3520","77.1780","83.7080"
"French Guiana","80.2100","77.3640","83.2080"
"Mayotte","79.6460","76.3880","83.1040"
"Czech Republic","79.5700","76.9900","82.1140"
"Barbados","79.3920","78.0560","80.6500"
"Maldives","79.3220","77.9460","81.0920"
"Curacao","79.0980","76.0440","81.8160"
"Lebanon","79.0900","77.3260","81.0100"
"United States","78.9900","76.4860","81.5260"
"Cuba","78.9840","77.0380","80.9400"
"Poland","78.9460","75.0980","82.7360"
"Estonia","78.8920","74.5800","82.8320"
"Panama","78.7560","75.7360","81.9320"
"Albania","78.7280","77.1800","80.3280"
"Croatia","78.7120","75.5740","81.7680"
"United Arab Emirates","78.1760","77.4980","79.5160"
"Oman","78.1600","76.4520","80.5840"
"Uruguay","78.1340","74.3980","81.6480"
"Turkey","77.9940","75.0620","80.8180"
"French Polynesia","77.8900","75.8660","80.1060"
"New Caledonia","77.8080","75.2300","80.5980"
"Slovakia","77.7240","74.2500","81.1140"
"Bosnia and Herzegovina","77.6300","75.1480","80.0520"
"Colombia","77.5300","74.8000","80.2360"
"Bahrain","77.4780","76.6220","78.6160"
"Thailand","77.3760","73.7440","81.0520"
"Ecuador","77.3060","74.6100","80.0940"
"Sri Lanka","77.2240","73.8780","80.4640"
"Antigua and Barbuda","77.2100","76.0240","78.3120"
"Algeria","77.1360","75.9360","78.3920"
"China","77.1300","75.0040","79.4260"
"Montenegro","77.0940","74.6740","79.4940"
"Hungary","77.0380","73.4520","80.4280"
"Peru","77.0280","74.4060","79.7620"
"Morocco","76.9900","75.7300","78.2120"
